Order ID,Date,Region,Category,Product,Units,Unit Price,Sales,Profit
1113,2025-04-29,East,Home & Garden,Plant Pot,2,12,24.45,6.48
1041,2025-05-01,West,Electronics,Smart Watch,10,120,1211.34,395.05
1163,2025-05-01,East,Electronics,Laptop Stand,9,30,280.85,90.16
1127,2025-05-03,South,Home & Garden,Table Lamp,9,25,222.93,90.3
1090,2025-05-05,North,Home & Garden,Table Lamp,10,25,257.07,97.83
1086,2025-05-07,South,Electronics,Smart Watch,4,120,462.06,146.06
1034,2025-05-08,South,Clothing,Winter Coat,3,90,267.89,105.63
1035,2025-05-08,North,Sports,Yoga Mat,1,22,22.33,7.63
1072,2025-05-08,North,Sports,Dumbbell Set,8,65,528.71,133.46
1101,2025-05-09,South,Electronics,Smart Watch,6,120,692.61,237.45
1211,2025-05-10,South,Home & Garden,Table Lamp,10,25,254.09,67.75
1145,2025-05-11,North,Sports,Tennis Racket,11,80,884.1,384.78
1083,2025-05-14,West,Home & Garden,Garden Hose,8,20,157.23,46.82
1020,2025-05-15,South,Books,Fiction Novel,11,14,150.9,48.62
1049,2025-05-16,West,Home & Garden,Table Lamp,2,25,50.67,14.4
1115,2025-05-17,South,Electronics,Wireless Earbuds,3,45,138.95,45.99
1094,2025-05-18,East,Clothing,T-Shirt,5,15,77.86,31.24
1117,2025-05-20,West,Sports,Yoga Mat,10,22,209.88,76.31
1097,2025-05-22,North,Books,Cookbook,2,22,42.86,15.8
1058,2025-05-23,East,Books,Children's Book,11,10,115.29,39.52
1120,2025-05-23,South,Books,Children's Book,11,10,113.46,29.07
1066,2025-05-27,South,Sports,Tennis Racket,8,80,636.27,200.35
1126,2025-05-28,West,Sports,Yoga Mat,1,22,23.04,7.56
1140,2025-05-28,South,Electronics,Bluetooth Speaker,2,60,123.12,38.07
1196,2025-05-29,North,Sports,Yoga Mat,6,22,127.67,33.26
1142,2025-05-31,East,Home & Garden,Plant Pot,3,12,35.08,12.9
1108,2025-06-05,North,Clothing,T-Shirt,9,15,138.57,45.55
1023,2025-06-07,South,Electronics,Smart Watch,10,120,1253.63,542.66
1185,2025-06-08,East,Home & Garden,Table Lamp,3,25,77.77,26.19
1204,2025-06-08,West,Sports,Yoga Mat,1,22,21.71,8.52
1212,2025-06-08,West,Clothing,T-Shirt,5,15,75.44,24.24
1139,2025-06-12,West,Books,Fiction Novel,10,14,133.96,43.37
1118,2025-06-15,East,Electronics,Wireless Earbuds,4,45,188.31,53.26
1175,2025-06-16,West,Books,Self-Help Guide,8,16,128.07,46.61
1152,2025-06-17,West,Clothing,Denim Jacket,3,55,169.73,46.63
1122,2025-06-18,West,Sports,Tennis Racket,11,80,919.18,264.07
1167,2025-06-18,South,Books,Fiction Novel,5,14,72.51,30.53
1213,2025-06-18,South,Books,Fiction Novel,11,14,156.63,54.55
1136,2025-06-19,North,Sports,Yoga Mat,9,22,206.13,92.13
1055,2025-06-20,West,Clothing,Running Shoes,3,70,216.03,92.54
1068,2025-06-21,North,Clothing,Running Shoes,4,70,288.58,121.36
1076,2025-06-21,East,Books,Fiction Novel,3,14,40.53,15.13
1081,2025-06-22,West,Clothing,Winter Coat,3,90,282.98,97.11
1154,2025-06-23,North,Sports,Yoga Mat,3,22,67.68,27.4
1177,2025-06-23,West,Sports,Cycling Helmet,12,40,460.56,167.94
1106,2025-06-24,South,Electronics,Laptop Stand,8,30,230.74,100.82
1146,2025-06-26,East,Sports,Tennis Racket,8,80,662.1,271.56
1200,2025-06-28,East,Clothing,Denim Jacket,2,55,106.11,43.56
1032,2025-07-01,West,Sports,Cycling Helmet,12,40,458.6,146.44
1169,2025-07-03,South,Books,Self-Help Guide,1,16,15.48,6.8
1007,2025-07-05,South,Electronics,Wireless Earbuds,11,45,481.53,188.82
1153,2025-07-07,East,Clothing,Running Shoes,8,70,586.17,229.18
1209,2025-07-10,East,Sports,Cycling Helmet,6,40,244.29,107.37
1011,2025-07-14,East,Books,Cookbook,11,22,237.75,70.45
1084,2025-07-14,East,Sports,Tennis Racket,2,80,159.52,47.89
1135,2025-07-15,West,Clothing,Winter Coat,1,90,86.64,22.26
1157,2025-07-15,East,Electronics,Smart Watch,8,120,914.4,249.77
1130,2025-07-16,South,Books,Cookbook,2,22,43.02,12.56
1134,2025-07-16,South,Sports,Yoga Mat,6,22,135.23,41.78
1147,2025-07-16,West,Electronics,Smart Watch,7,120,846.04,283.46
1061,2025-07-17,South,Home & Garden,Table Lamp,12,25,298.08,103.14
1082,2025-07-21,North,Electronics,Bluetooth Speaker,3,60,186.6,77.19
1043,2025-07-22,South,Home & Garden,Plant Pot,6,12,75.09,19.74
1037,2025-07-25,North,Clothing,Winter Coat,1,90,94.37,37.46
1186,2025-07-25,North,Clothing,T-Shirt,2,15,30.74,12.51
1064,2025-07-26,East,Books,Cookbook,4,22,87.3,22.87
1124,2025-07-26,North,Books,Children's Book,7,10,66.88,23.16
1054,2025-07-28,South,Clothing,Denim Jacket,3,55,171.29,76.23
1131,2025-08-01,East,Books,Self-Help Guide,1,16,15.65,6.11
1042,2025-08-03,East,Home & Garden,Garden Hose,11,20,224.76,90.41
1080,2025-08-03,South,Sports,Dumbbell Set,5,65,322.91,143.44
1187,2025-08-03,West,Home & Garden,Garden Hose,6,20,117.74,45.34
1170,2025-08-04,North,Electronics,Bluetooth Speaker,8,60,493.34,171.36
1004,2025-08-05,East,Home & Garden,Garden Hose,4,20,83.66,32.02
1173,2025-08-07,North,Sports,Cycling Helmet,2,40,83.19,32.08
1091,2025-08-08,East,Electronics,Laptop Stand,1,30,31.05,8.87
1151,2025-08-14,North,Books,Self-Help Guide,12,16,184.92,49.57
1051,2025-08-15,West,Books,Fiction Novel,2,14,26.81,7.33
1218,2025-08-16,East,Sports,Dumbbell Set,9,65,569.74,146.36
1038,2025-08-21,East,Sports,Cycling Helmet,3,40,116.28,47.26
1006,2025-08-24,North,Sports,Yoga Mat,9,22,193.9,62.88
1197,2025-08-24,East,Electronics,Bluetooth Speaker,2,60,116.92,38.84
1095,2025-08-26,West,Home & Garden,Table Lamp,8,25,207.02,85.63
1121,2025-08-29,East,Sports,Tennis Racket,6,80,488.17,135.93
1203,2025-08-29,West,Home & Garden,Throw Pillow,10,18,172.01,59.95
1219,2025-08-29,South,Home & Garden,Plant Pot,8,12,98.59,29.02
1031,2025-08-31,South,Sports,Cycling Helmet,4,40,153.51,48.85
1074,2025-09-01,West,Home & Garden,Garden Hose,11,20,215.1,63.34
1024,2025-09-06,North,Books,Cookbook,3,22,67.05,17.48
1030,2025-09-06,South,Books,Cookbook,12,22,275.5,92.51
1075,2025-09-06,South,Home & Garden,Plant Pot,2,12,24.51,9.88
1191,2025-09-07,East,Electronics,Smart Watch,7,120,880.69,386.66
1107,2025-09-09,North,Books,Fiction Novel,3,14,40.53,13.68
1160,2025-09-10,North,Electronics,Smart Watch,9,120,1040.65,373.88
1193,2025-09-12,West,Clothing,Denim Jacket,7,55,386.25,156.04
1002,2025-09-16,North,Books,Cookbook,12,22,267.96,91.38
1182,2025-09-17,South,Clothing,Winter Coat,4,90,372.5,141.54
1216,2025-09-17,North,Home & Garden,Garden Hose,10,20,197.53,82.48
1016,2025-09-18,West,Electronics,Wireless Earbuds,2,45,86.88,36.32
1067,2025-09-19,West,Clothing,T-Shirt,5,15,75.12,24.29
1027,2025-09-22,West,Electronics,Smart Watch,4,120,459.07,204.65
1093,2025-09-25,East,Books,Children's Book,8,10,79.48,24.15
1103,2025-09-26,East,Electronics,Smart Watch,5,120,583.65,241.7
1198,2025-09-26,North,Sports,Tennis Racket,12,80,944.59,362.14
1018,2025-09-28,East,Books,Fiction Novel,11,14,157.4,49.37
1022,2025-09-29,North,Books,Self-Help Guide,8,16,121.85,32.19
1040,2025-09-29,South,Electronics,Wireless Earbuds,3,45,129.18,56.38
1100,2025-09-29,East,Sports,Tennis Racket,6,80,489.74,193.85
1019,2025-10-02,East,Home & Garden,Table Lamp,5,25,124.18,44.61
1156,2025-10-02,North,Sports,Tennis Racket,11,80,901.91,358.57
1062,2025-10-03,South,Home & Garden,Plant Pot,2,12,25.08,6.67
1046,2025-10-06,East,Books,Fiction Novel,11,14,158.88,61.98
1133,2025-10-06,West,Sports,Tennis Racket,4,80,335.38,134.9
1123,2025-10-09,North,Sports,Yoga Mat,6,22,128.73,54.94
1028,2025-10-11,South,Books,Cookbook,1,22,21.06,6.82
1098,2025-10-12,South,Sports,Cycling Helmet,8,40,329.37,142.09
1180,2025-10-12,North,Books,Self-Help Guide,11,16,169.35,64.23
1183,2025-10-12,East,Electronics,Laptop Stand,10,30,291.78,106.26
1194,2025-10-14,East,Electronics,Bluetooth Speaker,12,60,687.05,306.6
1158,2025-10-15,East,Books,Cookbook,11,22,231.43,66.01
1184,2025-10-15,North,Books,Self-Help Guide,1,16,15.49,4.79
1087,2025-10-16,South,Sports,Tennis Racket,6,80,464.05,152.46
1013,2025-10-18,East,Clothing,Winter Coat,7,90,654.24,210.29
1188,2025-10-18,North,Electronics,Smart Watch,3,120,369.16,162.45
1116,2025-10-19,East,Sports,Yoga Mat,8,22,179.32,55.6
1079,2025-10-22,West,Sports,Yoga Mat,6,22,129.34,48.11
1119,2025-10-22,North,Home & Garden,Table Lamp,3,25,74.78,23.91
1202,2025-10-24,West,Books,Self-Help Guide,11,16,172.76,62.55
1015,2025-10-27,West,Books,Children's Book,6,10,58.32,14.61
1132,2025-10-28,West,Clothing,Winter Coat,9,90,808.73,310.16
1110,2025-10-29,West,Home & Garden,Table Lamp,10,25,261.5,112.49
1073,2025-11-01,East,Sports,Cycling Helmet,9,40,358.05,149.73
1201,2025-11-05,South,Electronics,Smart Watch,11,120,1319.22,394.59
1021,2025-11-08,South,Clothing,Running Shoes,3,70,210.83,62.04
1162,2025-11-12,West,Home & Garden,Table Lamp,12,25,296.12,107.0
1109,2025-11-13,South,Books,Children's Book,8,10,83.27,32.52
1125,2025-11-15,West,Sports,Yoga Mat,4,22,85.95,36.43
1063,2025-11-16,East,Electronics,Laptop Stand,9,30,264.85,97.55
1138,2025-11-16,West,Electronics,Laptop Stand,11,30,341.86,127.85
1114,2025-11-17,South,Sports,Yoga Mat,9,22,192.55,80.91
1210,2025-11-20,East,Electronics,Laptop Stand,2,30,60.35,22.49
1000,2025-11-24,North,Electronics,Laptop Stand,4,30,116.68,35.32
1033,2025-11-27,North,Electronics,Bluetooth Speaker,12,60,708.43,196.71
1205,2025-11-27,North,Books,Children's Book,8,10,80.64,20.9
1010,2025-11-28,North,Books,Cookbook,9,22,202.54,84.52
1172,2025-12-04,East,Sports,Yoga Mat,1,22,23.1,6.48
1047,2025-12-06,North,Clothing,Running Shoes,2,70,145.46,43.86
1178,2025-12-07,East,Home & Garden,Garden Hose,11,20,229.31,100.11
1181,2025-12-07,West,Electronics,Laptop Stand,10,30,294.37,126.37
1161,2025-12-10,West,Books,Cookbook,7,22,156.39,44.3
1001,2025-12-13,North,Books,Children's Book,1,10,9.53,3.87
1065,2025-12-13,South,Books,Self-Help Guide,7,16,112.54,50.63
1089,2025-12-13,West,Sports,Dumbbell Set,2,65,131.2,37.25
1155,2025-12-13,West,Books,Self-Help Guide,2,16,32.93,14.73
1017,2025-12-15,West,Books,Fiction Novel,7,14,96.84,24.29
1143,2025-12-16,South,Clothing,Denim Jacket,2,55,111.2,41.53
1144,2025-12-16,South,Sports,Dumbbell Set,4,65,258.99,103.39
1026,2025-12-20,South,Home & Garden,Plant Pot,11,12,133.98,48.55
1102,2025-12-20,South,Clothing,Denim Jacket,12,55,658.96,201.04
1217,2025-12-21,South,Sports,Yoga Mat,7,22,151.91,46.5
1148,2025-12-25,East,Electronics,Bluetooth Speaker,5,60,285.24,79.01
1159,2025-12-25,East,Sports,Yoga Mat,3,22,63.0,27.88
1176,2025-12-26,North,Books,Cookbook,7,22,153.25,61.96
1129,2025-12-28,East,Sports,Cycling Helmet,8,40,311.8,105.93
